Symbol	Description
DKF20	Class IV Milk {Jan 20}
DKF21	Class IV Milk {Jan 21}
DKG20	Class IV Milk {Feb 20}
DKG21	Class IV Milk {Feb 21}
DKH20	Class IV Milk {Mar 20}
DKH21	Class IV Milk {Mar 21}
DKJ20	Class IV Milk {Apr 20}
DKJ21	Class IV Milk {Apr 21}
DKK20	Class IV Milk {May 20}
DKK21	Class IV Milk {May 21}
DKM20	Class IV Milk {Jun 20}
DKM21	Class IV Milk {Jun 21}
DKN20	Class IV Milk {Jul 20}
DKN21	Class IV Milk {Jul 21}
DKQ20	Class IV Milk {Aug 20}
DKQ21	Class IV Milk {Aug 21}
DKU20	Class IV Milk {Sep 20}
DKU21	Class IV Milk {Sep 21}
DKV20	Class IV Milk {Oct 20}
DKV21	Class IV Milk {Oct 21}
DKX20	Class IV Milk {Nov 20}
DKX21	Class IV Milk {Nov 21}
DKZ19	Class IV Milk {Dec 19}
DKZ20	Class IV Milk {Dec 20}
DKZ21	Class IV Milk {Dec 21}
DL.C	Class III Milk Continuation
DLF20	Class III Milk {Jan 20}
DLF21	Class III Milk {Jan 21}
DLG20	Class III Milk {Feb 20}
DLG21	Class III Milk {Feb 21}
DLH20	Class III Milk {Mar 20}
DLH21	Class III Milk {Mar 21}
DLJ20	Class III Milk {Apr 20}
DLJ21	Class III Milk {Apr 21}
DLK20	Class III Milk {May 20}
DLK21	Class III Milk {May 21}
DLM20	Class III Milk {Jun 20}
DLM21	Class III Milk {Jun 21}
DLN20	Class III Milk {Jul 20}
DLN21	Class III Milk {Jul 21}
DLQ20	Class III Milk {Aug 20}
DLQ21	Class III Milk {Aug 21}
DLU20	Class III Milk {Sep 20}
DLU21	Class III Milk {Sep 21}
DLV20	Class III Milk {Oct 20}
DLV21	Class III Milk {Oct 21}
DLX20	Class III Milk {Nov 20}
DLX21	Class III Milk {Nov 21}
DLZ19	Class III Milk {Dec 19}
DLZ20	Class III Milk {Dec 20}
DLZ21	Class III Milk {Dec 21}
E3.C	Turkish Lira Continuation
E3H20	Turkish Lira {Mar 20}
E3H21	Turkish Lira {Mar 21}
E3M20	Turkish Lira {Jun 20}
E3M21	Turkish Lira {Jun 21}
E3U20	Turkish Lira {Sep 20}
E3Z20	Turkish Lira {Dec 20}
E4	Turkish Lira
E5	Euro/Turkish Lira
E6	Euro FX
E6.C	Euro FX Continuation
E6F20	Euro FX {Jan 20}
E6G20	Euro FX {Feb 20}
E6H20	Euro FX {Mar 20}
E6H21	Euro FX {Mar 21}
E6H22	Euro FX {Mar 22}
E6H23	Euro FX {Mar 23}
E6H24	Euro FX {Mar 24}
E6J20	Euro FX {Apr 20}
E6K20	Euro FX {May 20}
E6M20	Euro FX {Jun 20}
E6M21	Euro FX {Jun 21}
E6M22	Euro FX {Jun 22}
E6M23	Euro FX {Jun 23}
E6M24	Euro FX {Jun 24}
E6U20	Euro FX {Sep 20}
E6U21	Euro FX {Sep 21}
E6U22	Euro FX {Sep 22}
E6U23	Euro FX {Sep 23}
E6U24	Euro FX {Sep 24}
E6Z20	Euro FX {Dec 20}
E6Z21	Euro FX {Dec 21}
E6Z22	Euro FX {Dec 22}
E6Z23	Euro FX {Dec 23}
E6Z24	Euro FX {Dec 24}
E7	E-Mini Euro FX
E7.C	E-Mini Euro FX Continuation
E7H20	E-Mini Euro FX {Mar 20}
E7M20	E-Mini Euro FX {Jun 20}
EC	Euro FX (Pit)
EC.C	Euro FX (Pit) Continuation
ECF20	Euro FX (Pit) {Jan 20}
ECG20	Euro FX (Pit) {Feb 20}
ECH20	Euro FX (Pit) {Mar 20}
ECH21	Euro FX (Pit) {Mar 21}
ECH22	Euro FX (Pit) {Mar 22}
ECH23	Euro FX (Pit) {Mar 23}
ECH24	Euro FX (Pit) {Mar 24}
ECJ20	Euro FX (Pit) {Apr 20}
ECK20	Euro FX (Pit) {May 20}
ECM20	Euro FX (Pit) {Jun 20}
ECM21	Euro FX (Pit) {Jun 21}
ECM22	Euro FX (Pit) {Jun 22}
ECM23	Euro FX (Pit) {Jun 23}
ECM24	Euro FX (Pit) {Jun 24}
ECU20	Euro FX (Pit) {Sep 20}
ECU21	Euro FX (Pit) {Sep 21}
ECU22	Euro FX (Pit) {Sep 22}
ECU23	Euro FX (Pit) {Sep 23}
ECU24	Euro FX (Pit) {Sep 24}
ECZ20	Euro FX (Pit) {Dec 20}
ECZ21	Euro FX (Pit) {Dec 21}
ECZ22	Euro FX (Pit) {Dec 22}
ECZ23	Euro FX (Pit) {Dec 23}
ECZ24	Euro FX (Pit) {Dec 24}
ED	Eurodollar (Pit)
ED.C	Eurodollar (Pit) Continuation
EDF20	Eurodollar (Pit) {Jan 20}
EDG20	Eurodollar (Pit) {Feb 20}
EDH20	Eurodollar (Pit) {Mar 20}
EDH21	Eurodollar (Pit) {Mar 21}
EDH22	Eurodollar (Pit) {Mar 22}
EDH23	Eurodollar (Pit) {Mar 23}
EDH24	Eurodollar (Pit) {Mar 24}
EDH25	Eurodollar (Pit) {Mar 25}
EDH26	Eurodollar (Pit) {Mar 26}
EDH27	Eurodollar (Pit) {Mar 27}
EDH28	Eurodollar (Pit) {Mar 28}
EDH29	Eurodollar (Pit) {Mar 29}
EDJ20	Eurodollar (Pit) {Apr 20}
EDK20	Eurodollar (Pit) {May 20}
EDM20	Eurodollar (Pit) {Jun 20}
EDM21	Eurodollar (Pit) {Jun 21}
EDM22	Eurodollar (Pit) {Jun 22}
EDM23	Eurodollar (Pit) {Jun 23}
EDM24	Eurodollar (Pit) {Jun 24}
EDM25	Eurodollar (Pit) {Jun 25}
EDM26	Eurodollar (Pit) {Jun 26}
EDM27	Eurodollar (Pit) {Jun 27}
EDM28	Eurodollar (Pit) {Jun 28}
EDM29	Eurodollar (Pit) {Jun 29}
EDN20	Eurodollar (Pit) {Jul 20}
EDU20	Eurodollar (Pit) {Sep 20}
EDU21	Eurodollar (Pit) {Sep 21}
